ensg_id,length
ENSG00000276747,2396
ENSG00000228776,454
ENSG00000159339,2971
ENSG00000261781,2471
ENSG00000158315,2826
ENSG00000186973,843
ENSG00000146463,7905
ENSG00000142686,3049
ENSG00000224751,1312
ENSG00000117148,1844
ENSG00000230585,811
ENSG00000117000,6232
ENSG00000284989,4037
ENSG00000231630,429
ENSG00000092853,9591
ENSG00000255811,560
ENSG00000134697,5747
ENSG00000187513,1716
ENSG00000225671,595
ENSG00000116151,11337
ENSG00000006555,6111
ENSG00000236111,681
ENSG00000214114,2773
ENSG00000116544,4042
ENSG00000236723,1227
ENSG00000232467,601
ENSG00000117016,7259
ENSG00000163866,10337
ENSG00000237130,370
ENSG00000232335,539
ENSG00000232762,752
ENSG00000162384,4504
ENSG00000162391,2006
ENSG00000117859,10273
ENSG00000162396,2356
ENSG00000284686,2655
ENSG00000162378,8206
ENSG00000259818,3591
ENSG00000234318,447
ENSG00000227485,359
ENSG00000236646,270
ENSG00000243725,3488
ENSG00000171872,3160
ENSG00000162407,5272
ENSG00000163877,5718
ENSG00000228929,455
ENSG00000224570,1797
ENSG00000224980,433
ENSG00000278967,1819
ENSG00000157184,10089
ENSG00000198815,6896
ENSG00000134744,16199
ENSG00000233910,721
ENSG00000287703,1426
ENSG00000283039,3159
ENSG00000229294,512
ENSG00000236973,1000
ENSG00000277397,718
ENSG00000162385,1363
ENSG00000275350,585
ENSG00000123080,3018
ENSG00000285778,3776
ENSG00000233407,250
ENSG00000162598,4422
ENSG00000280317,301
ENSG00000162415,6095
ENSG00000162600,3718
ENSG00000116704,6193
ENSG00000157193,19668
ENSG00000116205,12168
ENSG00000233994,608
ENSG00000227556,107
ENSG00000162607,3869
ENSG00000285954,886
ENSG00000233333,757
ENSG00000154027,6948
ENSG00000234108,331
ENSG00000232676,1124
ENSG00000213579,457
ENSG00000137960,3904
ENSG00000237852,423
ENSG00000132855,3371
ENSG00000270549,238
ENSG00000237163,303
ENSG00000229636,1491
ENSG00000116675,6958
ENSG00000162433,7578
ENSG00000213625,5237
ENSG00000233664,321
ENSG00000158966,7022
ENSG00000213703,546
ENSG00000233674,271
ENSG00000153898,3442
ENSG00000117069,6059
ENSG00000125703,3116
ENSG00000234144,226
ENSG00000277670,263
ENSG00000227466,456
ENSG00000230498,2086
ENSG00000162618,5798
ENSG00000224493,670
ENSG00000131233,2439
ENSG00000229225,157
ENSG00000225598,580
ENSG00000137941,10547
ENSG00000286548,6245
ENSG00000066135,5184
ENSG00000272094,879
ENSG00000228853,534
ENSG00000284895,81
ENSG00000117174,6203
ENSG00000184313,9088
ENSG00000288543,497
ENSG00000122420,5764
ENSG00000143013,5421
ENSG00000226084,555
ENSG00000134748,5617
ENSG00000142892,5514
ENSG00000229332,562
ENSG00000227937,382
ENSG00000229752,739
ENSG00000233216,322
ENSG00000197273,597
ENSG00000226804,1160
ENSG00000230728,623
ENSG00000232846,879
ENSG00000230787,1111
ENSG00000116641,24890
ENSG00000172260,13208
ENSG00000285473,716
ENSG00000234578,470
ENSG00000229505,736
ENSG00000228187,571
ENSG00000182183,2684
ENSG00000236407,619
ENSG00000271949,654
ENSG00000227062,418
ENSG00000067334,7518
ENSG00000235011,355
ENSG00000213559,922
ENSG00000287587,1188
ENSG00000142949,10712
ENSG00000232882,621
ENSG00000171502,9568
ENSG00000116157,1692
ENSG00000143036,2869
ENSG00000065243,6897
ENSG00000226960,589
ENSG00000234080,877
ENSG00000285409,597
ENSG00000117528,7655
ENSG00000271723,7090
ENSG00000036549,9008
ENSG00000225191,1240
ENSG00000287870,1211
ENSG00000232048,859
ENSG00000232857,835
ENSG00000273637,2171
ENSG00000228838,675
ENSG00000283761,5765
ENSG00000189433,1444
ENSG00000142700,3168
ENSG00000233514,360
ENSG00000127124,14625
ENSG00000266993,1819
ENSG00000229316,653
ENSG00000234099,1058
ENSG00000137936,6919
ENSG00000232752,643
ENSG00000235829,326
ENSG00000143032,2044
ENSG00000280040,672
ENSG00000117519,2783
ENSG00000238037,274
ENSG00000134215,7306
ENSG00000227935,708
ENSG00000228502,1389
ENSG00000271277,379
ENSG00000236888,360
ENSG00000230828,346
ENSG00000152078,7385
ENSG00000171492,4852
ENSG00000233129,766
ENSG00000170989,5223
ENSG00000237897,593
ENSG00000116299,9194
ENSG00000137962,18370
ENSG00000286692,486
ENSG00000260464,1766
ENSG00000231996,152
ENSG00000117154,3033
ENSG00000162377,4148
ENSG00000116774,2821
ENSG00000287756,1453
ENSG00000284652,1765
ENSG00000023909,5426
ENSG00000069702,8577
ENSG00000228399,343
ENSG00000236776,460
ENSG00000271252,287
ENSG00000235794,331
ENSG00000233983,399
ENSG00000198198,26354
ENSG00000116793,7170
ENSG00000232918,488
ENSG00000183298,880
ENSG00000117525,2886
ENSG00000162699,943
ENSG00000203914,1567
ENSG00000270457,338
ENSG00000231987,1994
ENSG00000229842,667
ENSG00000198162,9667
ENSG00000171517,3536
ENSG00000203864,386
ENSG00000233482,352
ENSG00000143079,7371
ENSG00000232450,748
ENSG00000235038,620
ENSG00000173947,3949
ENSG00000134198,3413
ENSG00000279513,1492
ENSG00000117620,18235
ENSG00000162688,8157
ENSG00000197106,6636
ENSG00000231072,1003
ENSG00000185946,6867
ENSG00000162627,2067
ENSG00000265808,9039
ENSG00000225923,742
ENSG00000134247,6488
ENSG00000162664,10988
ENSG00000134253,4368
ENSG00000223416,348
ENSG00000179571,2119
ENSG00000227850,180
ENSG00000285532,1014
ENSG00000226755,508
ENSG00000183508,5654
ENSG00000277095,1807
ENSG00000264145,675
ENSG00000238256,143
ENSG00000198765,4278
ENSG00000143398,5405
ENSG00000196505,10487
ENSG00000223489,2629
ENSG00000230546,141
ENSG00000213262,828
ENSG00000287015,719
ENSG00000235526,508
ENSG00000228347,525
ENSG00000236012,281
ENSG00000134200,528
ENSG00000065183,10276
ENSG00000226126,1314
ENSG00000163156,3264
ENSG00000228453,381
ENSG00000261168,1536
ENSG00000233432,1548
ENSG00000229911,680
ENSG00000171943,7335
ENSG00000270719,214
ENSG00000155761,9828
ENSG00000116830,10158
ENSG00000234422,340
ENSG00000227091,1660
ENSG00000081026,8414
ENSG00000143458,9189
ENSG00000230932,579
ENSG00000225036,828
ENSG00000250890,157
ENSG00000232240,243
ENSG00000234388,301
ENSG00000233717,171
ENSG00000163155,2508
ENSG00000241975,318
ENSG00000270976,213
ENSG00000228217,420
ENSG00000270342,403
ENSG00000116824,1635
ENSG00000235887,408
ENSG00000235756,1135
ENSG00000173810,489
ENSG00000271890,1029
ENSG00000283360,863
ENSG00000117262,5561
ENSG00000227970,1377
ENSG00000231613,509
ENSG00000236689,677
ENSG00000226028,534
ENSG00000203825,2594
ENSG00000184371,5238
ENSG00000233449,673
ENSG00000242943,582
ENSG00000232499,1029
ENSG00000163154,1158
ENSG00000232995,3626
ENSG00000238087,1600
ENSG00000143158,2638
ENSG00000271092,1961
ENSG00000232148,1370
ENSG00000000460,5970
ENSG00000135862,8446
ENSG00000232952,1779
ENSG00000260322,1976
ENSG00000143156,5718
ENSG00000198771,8165
ENSG00000225462,1071
ENSG00000237756,469
ENSG00000271187,219
ENSG00000231175,2216
ENSG00000143185,562
ENSG00000272931,695
ENSG00000143190,16031
ENSG00000225475,141
ENSG00000232223,918
ENSG00000224468,479
ENSG00000232551,1559
ENSG00000238270,414
ENSG00000236025,209
ENSG00000230704,677
ENSG00000286754,667
ENSG00000143171,2691
ENSG00000275767,1861
ENSG00000047410,12350
ENSG00000171806,1575
ENSG00000134216,4643
ENSG00000230748,625
ENSG00000238108,433
ENSG00000135842,8330
ENSG00000287472,1230
ENSG00000241318,928
ENSG00000228238,1021
ENSG00000232393,886
ENSG00000184155,930
ENSG00000058085,6770
ENSG00000232917,291
ENSG00000233057,1376
ENSG00000143167,2946
ENSG00000143184,1227
ENSG00000224691,353
ENSG00000233626,386
ENSG00000143228,3362
ENSG00000231714,440
ENSG00000116833,7543
ENSG00000000457,6883
ENSG00000285638,2438
ENSG00000230987,3528
ENSG00000228167,442
ENSG00000150732,228
ENSG00000157064,6943
ENSG00000288139,195
ENSG00000059588,7819
ENSG00000162782,4090
ENSG00000238051,448
ENSG00000233196,677
ENSG00000229220,749
ENSG00000227747,790
ENSG00000228081,362
ENSG00000228020,937
ENSG00000234975,412
ENSG00000162851,1784
ENSG00000271427,575
ENSG00000143353,2941
ENSG00000197965,7069
ENSG00000143493,5326
ENSG00000230777,171
ENSG00000179397,4431
ENSG00000224540,1224
ENSG00000186197,3996
ENSG00000229067,151
ENSG00000261182,2277
ENSG00000162670,4273
ENSG00000225712,426
ENSG00000162761,4185
ENSG00000143199,6141
ENSG00000007908,4586
ENSG00000092978,8841
ENSG00000188404,2731
ENSG00000274702,274
ENSG00000226211,357
ENSG00000203697,5174
ENSG00000116574,3965
ENSG00000143248,6624
ENSG00000162814,6515
ENSG00000225172,1882
ENSG00000261642,3125
ENSG00000228239,399
ENSG00000237283,2157
ENSG00000116132,8248
ENSG00000229242,800
ENSG00000152092,9201
ENSG00000234984,1493
ENSG00000229983,510
ENSG00000225122,664
ENSG00000225920,654
ENSG00000143476,4923
ENSG00000057252,7005
ENSG00000285718,1782
ENSG00000233018,226
ENSG00000224783,1819
ENSG00000162852,5933
ENSG00000268062,203
ENSG00000116962,5811
ENSG00000229757,787
ENSG00000220749,483
ENSG00000181450,8915
ENSG00000225300,1960
ENSG00000223842,1126
ENSG00000143355,10442
ENSG00000237193,202
ENSG00000223490,400
ENSG00000174502,5628
ENSG00000143195,13946
ENSG00000162849,14404
ENSG00000232824,408
ENSG00000067533,7877
ENSG00000228955,222
ENSG00000224702,692
ENSG00000271811,2045
ENSG00000224278,540
ENSG00000226486,1393
ENSG00000227687,230
ENSG00000231814,1584
ENSG00000277007,2614
ENSG00000229016,711
ENSG00000152104,18752
ENSG00000117650,3095
ENSG00000203724,628
ENSG00000225006,746
ENSG00000223375,216
ENSG00000230714,215
ENSG00000173726,3438
ENSG00000282852,177
ENSG00000152382,2900
ENSG00000232100,1728
ENSG00000230547,637
ENSG00000232215,940
ENSG00000135829,5898
ENSG00000134717,5948
ENSG00000278180,776
ENSG00000232341,1282
ENSG00000287676,715
ENSG00000236792,443
ENSG00000143207,4177
ENSG00000270859,437
ENSG00000238224,271
ENSG00000237492,913
ENSG00000150681,2801
ENSG00000116906,3261
ENSG00000092969,6050
ENSG00000157181,4073
ENSG00000250762,266
ENSG00000076258,2542
ENSG00000117697,13867
ENSG00000235083,407
ENSG00000162669,5814
ENSG00000225904,703
ENSG00000143641,7712
ENSG00000010932,3602
ENSG00000010072,5906
ENSG00000135766,5381
ENSG00000238054,1202
ENSG00000168243,5194
ENSG00000281453,1371
ENSG00000237469,1279
ENSG00000227613,964
ENSG00000116183,10926
ENSG00000231612,447
ENSG00000271036,484
ENSG00000170382,5686
ENSG00000226868,174
ENSG00000279401,2336
ENSG00000287450,138
ENSG00000237011,850
ENSG00000066027,3942
ENSG00000173728,1151
ENSG00000225811,602
ENSG00000273093,533
ENSG00000185523,506
ENSG00000116711,2879
ENSG00000226750,161
ENSG00000285665,661
ENSG00000231022,792
ENSG00000224436,237
ENSG00000234915,387
ENSG00000227585,858
ENSG00000157060,2982
ENSG00000237213,453
ENSG00000213045,517
ENSG00000230063,650
ENSG00000235467,634
ENSG00000123684,8790
ENSG00000225338,468
ENSG00000224407,1029
ENSG00000232463,631
ENSG00000225171,462
ENSG00000235386,105
ENSG00000213690,510
ENSG00000229832,496
ENSG00000237514,514
ENSG00000287856,3690
ENSG00000203705,3992
ENSG00000224040,290
ENSG00000228686,629
ENSG00000174175,3490
ENSG00000236401,1259
ENSG00000215800,484
ENSG00000270936,668
ENSG00000008118,3328
ENSG00000171161,3741
ENSG00000241505,506
ENSG00000261453,2399
ENSG00000231020,424
ENSG00000270818,1410
ENSG00000196878,4647
ENSG00000225561,834
ENSG00000074964,7954
ENSG00000223847,493
ENSG00000277704,557
ENSG00000240963,642
ENSG00000226570,759
ENSG00000198929,7854
ENSG00000174606,7317
ENSG00000236905,479
ENSG00000227887,330
ENSG00000116903,5100
ENSG00000226196,943
ENSG00000287354,2483
ENSG00000233827,645
ENSG00000198797,4492
ENSG00000151414,5454
ENSG00000177614,11257
ENSG00000235182,147
ENSG00000287157,1477
ENSG00000225755,1133
ENSG00000197472,3756
ENSG00000230184,361
ENSG00000232436,807
ENSG00000136643,6191
ENSG00000236317,192
ENSG00000176855,1332
ENSG00000225401,685
ENSG00000228190,421
ENSG00000135747,3197
ENSG00000069248,6081
ENSG00000253148,1794
ENSG00000227751,311
ENSG00000090104,4074
ENSG00000236468,1335
ENSG00000185220,3651
ENSG00000236101,377
ENSG00000162769,6422
ENSG00000278684,139
ENSG00000236775,1256
ENSG00000042781,20633
ENSG00000228646,370
ENSG00000233332,1723
ENSG00000231984,400
ENSG00000277462,4197
ENSG00000035687,3441
ENSG00000180287,9546
ENSG00000226693,1051
ENSG00000231272,452
ENSG00000223828,270
ENSG00000226723,780
ENSG00000272672,547
ENSG00000235096,696
ENSG00000007341,8108
ENSG00000143324,8913
ENSG00000225222,427
ENSG00000198842,4274
ENSG00000286619,6230
ENSG00000198756,7806
ENSG00000227554,364
ENSG00000178596,985
ENSG00000054282,5321
ENSG00000183780,3447
ENSG00000229663,2158
ENSG00000162702,4895
ENSG00000228530,251
ENSG00000143194,3148
ENSG00000054267,11073
ENSG00000287921,729
ENSG00000232166,570
ENSG00000175137,5724
ENSG00000134245,12374
ENSG00000187889,4648
ENSG00000097046,3599
ENSG00000231378,502
ENSG00000235605,438
ENSG00000224857,426
ENSG00000273367,626
ENSG00000231605,1929
ENSG00000236358,410
ENSG00000203737,1582
ENSG00000215873,1145
ENSG00000185420,5866
ENSG00000272175,280
ENSG00000213070,598
ENSG00000229747,728
ENSG00000136636,5017
ENSG00000225486,353
ENSG00000163874,3091
ENSG00000213068,415
ENSG00000054392,6645
ENSG00000188739,2939
ENSG00000273198,532
ENSG00000225719,860
ENSG00000273483,643
ENSG00000232809,891
ENSG00000285981,619
ENSG00000215796,1231
ENSG00000233047,3122
ENSG00000143341,18739
ENSG00000116703,1331
ENSG00000264341,73
ENSG00000264101,70
ENSG00000252404,184
ENSG00000243267,280
ENSG00000252151,103
ENSG00000252969,124
ENSG00000252956,110
ENSG00000284357,110
ENSG00000207237,104
ENSG00000252691,84
ENSG00000253005,105
ENSG00000207941,96
ENSG00000199963,108
ENSG00000264698,72
ENSG00000207328,107
ENSG00000207466,101
ENSG00000252368,110
ENSG00000206779,101
ENSG00000200796,107
ENSG00000252190,125
ENSG00000283724,60
ENSG00000284410,61
ENSG00000252018,141
ENSG00000206627,105
ENSG00000283414,90
ENSG00000207508,107
ENSG00000200171,96
ENSG00000207194,108
ENSG00000283477,62
ENSG00000263675,60
ENSG00000238653,62
ENSG00000212624,122
ENSG00000200575,104
ENSG00000212360,104
ENSG00000251825,252
ENSG00000222624,191
ENSG00000223152,86
ENSG00000212308,105
ENSG00000276081,60
ENSG00000239640,297
ENSG00000252338,105
ENSG00000239319,295
ENSG00000251767,62
ENSG00000202263,109
ENSG00000199318,134
ENSG00000199666,215
ENSG00000200601,107
ENSG00000242482,299
ENSG00000201620,119
ENSG00000206817,100
ENSG00000264963,343
ENSG00000198974,92
ENSG00000212248,107
ENSG00000207962,89
ENSG00000207234,107
ENSG00000202259,103
ENSG00000212459,104
ENSG00000263526,41
ENSG00000211575,80
ENSG00000202254,92
ENSG00000201491,146
ENSG00000275455,82
ENSG00000200800,160
ENSG00000252530,96
ENSG00000200536,124
ENSG00000211543,79
ENSG00000252797,232
ENSG00000212266,122
ENSG00000222209,118
ENSG00000277141,297
ENSG00000215930,86
ENSG00000238761,104
ENSG00000222069,318
ENSG00000252005,109
ENSG00000252510,125
ENSG00000252830,110
ENSG00000283296,64
ENSG00000252717,107
ENSG00000277313,250
ENSG00000207472,107
ENSG00000199849,116
ENSG00000212538,204
ENSG00000251813,103
ENSG00000207108,101
ENSG00000202491,103
ENSG00000201596,110
ENSG00000273629,62
ENSG00000201493,158
ENSG00000200139,103
ENSG00000253025,168
ENSG00000201544,135
ENSG00000202498,92
ENSG00000221545,67
ENSG00000252906,143
ENSG00000202329,107
ENSG00000242794,280
ENSG00000283340,85
ENSG00000252860,105
ENSG00000263390,85
ENSG00000207181,135
ENSG00000264377,73
ENSG00000207149,101
ENSG00000284485,110
ENSG00000239494,297
ENSG00000199442,97
ENSG00000239690,303
ENSG00000202184,105
ENSG00000241395,296
ENSG00000200982,102
ENSG00000222407,111
ENSG00000200495,106
ENSG00000202609,83
ENSG00000252553,108
ENSG00000222240,342
ENSG00000212187,122
ENSG00000200036,119
ENSG00000212610,210
ENSG00000200327,110
ENSG00000200972,114
ENSG00000252011,82
ENSG00000207326,114
ENSG00000212205,88
ENSG00000264358,73
ENSG00000212527,112
ENSG00000252879,156
ENSG00000202264,120
ENSG00000285609,126
ENSG00000252084,143
ENSG00000200085,102
ENSG00000264500,67
ENSG00000202025,104
ENSG00000225545,130
ENSG00000206990,103
ENSG00000230175,470
ENSG00000225272,472
ENSG00000273365,729
ENSG00000230659,435
ENSG00000162545,2605
ENSG00000090432,2428
ENSG00000215520,763
ENSG00000183114,2448
ENSG00000158825,820
ENSG00000158828,4833
ENSG00000284005,110
ENSG00000117242,4443
ENSG00000234473,1229
ENSG00000238754,135
ENSG00000221680,81
ENSG00000162630,3548
ENSG00000276735,314
ENSG00000229639,458
ENSG00000287453,549
ENSG00000270615,1447
ENSG00000287283,2154
ENSG00000240692,304
ENSG00000237919,948
ENSG00000066557,2843
ENSG00000244389,297
ENSG00000228988,457
ENSG00000118454,6184
ENSG00000116761,2414
ENSG00000278636,283
ENSG00000271992,466
ENSG00000237033,609
ENSG00000007968,5462
ENSG00000117318,1496
ENSG00000229239,1186
ENSG00000142676,2659
ENSG00000057757,2173
ENSG00000117308,3955
ENSG00000273844,177
ENSG00000235748,560
ENSG00000221879,262
ENSG00000230260,548
ENSG00000199241,110
ENSG00000223963,2115
ENSG00000215802,428
ENSG00000233615,957
ENSG00000238085,344
ENSG00000265831,75
ENSG00000224348,303
ENSG00000287738,3498
ENSG00000132703,925
ENSG00000276632,470
ENSG00000223603,625
ENSG00000132693,2015
ENSG00000235226,420
ENSG00000158716,827
ENSG00000181036,2677
ENSG00000158714,3178
ENSG00000212161,67
ENSG00000243284,1818
ENSG00000213085,2627
ENSG00000266458,101
ENSG00000287040,984
ENSG00000279430,461
ENSG00000162723,1139
ENSG00000273933,845
ENSG00000256029,8100
ENSG00000188004,5656
ENSG00000266580,76
ENSG00000254545,537
ENSG00000269967,587
ENSG00000228634,517
ENSG00000284702,1873
ENSG00000221040,216
ENSG00000163399,7277
ENSG00000212385,104
ENSG00000200547,92
ENSG00000224950,2302
ENSG00000177888,8679
ENSG00000243364,1257
ENSG00000251246,1042
ENSG00000143590,1944
ENSG00000202027,109
ENSG00000169242,2165
ENSG00000169241,2340
ENSG00000223452,270
ENSG00000163463,3814
ENSG00000273088,753
ENSG00000284586,96
ENSG00000169231,4623
ENSG00000177628,3648
ENSG00000143630,4241
ENSG00000143627,3168
ENSG00000253074,104
ENSG00000252116,126
ENSG00000228523,728
ENSG00000223263,105
ENSG00000207504,107
ENSG00000238139,374
ENSG00000197721,2768
ENSG00000244703,763
ENSG00000226289,689
ENSG00000285239,556
ENSG00000234219,680
ENSG00000174059,9219
ENSG00000158731,930
ENSG00000201746,107
ENSG00000264881,86
ENSG00000199562,107
ENSG00000264501,293
ENSG00000284735,2381
ENSG00000284642,1477
ENSG00000142657,3333
ENSG00000271989,797
ENSG00000251503,2244
ENSG00000175279,1748
ENSG00000160049,6625
ENSG00000203469,467
ENSG00000236035,792
ENSG00000221643,125
ENSG00000227417,643
ENSG00000223505,328
ENSG00000182004,2080
ENSG00000236430,1371
ENSG00000130768,2663
ENSG00000227050,491
ENSG00000238231,367
ENSG00000240750,297
ENSG00000158156,5180
ENSG00000182118,2402
ENSG00000283799,97
ENSG00000227934,573
ENSG00000229595,495
ENSG00000143633,5413
ENSG00000281912,1710
ENSG00000288208,2768
ENSG00000132773,2358
ENSG00000070759,3319
ENSG00000236872,325
ENSG00000280670,2757
ENSG00000132763,5049
ENSG00000226164,610
ENSG00000224014,270
ENSG00000215795,1670
ENSG00000259865,1246
ENSG00000283881,94
ENSG00000252516,92
ENSG00000214144,1941
ENSG00000235818,1090
ENSG00000202079,107
ENSG00000169224,4680
ENSG00000177489,954
ENSG00000177476,930
ENSG00000283369,76
ENSG00000230411,955
ENSG00000251977,107
ENSG00000252254,113
ENSG00000227854,156
ENSG00000215805,1459
ENSG00000228818,2720
ENSG00000202041,122
ENSG00000223694,1137
ENSG00000233735,497
ENSG00000133019,15173
ENSG00000162636,9350
ENSG00000162639,2426
ENSG00000134186,6955
ENSG00000143107,3090
ENSG00000232971,386
ENSG00000116266,5892
ENSG00000228076,744
ENSG00000237349,283
ENSG00000244716,555
ENSG00000228665,253
ENSG00000228054,655
ENSG00000273382,2888
ENSG00000215717,3613
ENSG00000278249,420
ENSG00000251484,609
ENSG00000132676,4588
ENSG00000227673,157
ENSG00000234937,941
ENSG00000132718,5182
ENSG00000283442,106
ENSG00000132680,5646
ENSG00000207475,137
ENSG00000280466,128
ENSG00000281394,129
ENSG00000277817,64
ENSG00000224276,401
ENSG00000163479,6643
ENSG00000160803,3884
ENSG00000132698,1689
ENSG00000252236,141
ENSG00000260238,1007
ENSG00000242252,964
ENSG00000198952,5304
ENSG00000163472,3032
ENSG00000163468,3864
ENSG00000132677,3384
ENSG00000207933,89
ENSG00000254726,6591
ENSG00000186377,2447
ENSG00000186160,2252
ENSG00000225154,1202
ENSG00000225514,671
ENSG00000162366,1430
ENSG00000226252,4036
ENSG00000186790,1768
ENSG00000237424,2509
ENSG00000189030,684
ENSG00000162763,1372
ENSG00000143061,7400
ENSG00000203740,2322
ENSG00000162374,8368
ENSG00000168275,2288
ENSG00000241563,914
ENSG00000153207,9579
ENSG00000156869,8624
ENSG00000033122,30043
ENSG00000143278,2893
ENSG00000116678,11370
ENSG00000159352,3021
ENSG00000158710,2262
ENSG00000049239,9322
ENSG00000186564,2648
ENSG00000244038,2721
ENSG00000116690,5049
ENSG00000126091,19448
ENSG00000171163,3929
ENSG00000172456,12174
ENSG00000158786,6438
ENSG00000118733,4393
ENSG00000157870,3371
ENSG00000179085,622
ENSG00000173080,1450
ENSG00000276470,173
ENSG00000278852,149
ENSG00000275915,108
ENSG00000120937,708
ENSG00000224904,2637
ENSG00000199347,120
ENSG00000201801,120
ENSG00000083444,5320
ENSG00000287384,595
ENSG00000270914,93
ENSG00000116691,2821
ENSG00000202461,113
ENSG00000276869,65
ENSG00000243539,275
ENSG00000120949,3812
ENSG00000201135,104
ENSG00000227875,255
ENSG00000285604,1196
ENSG00000283789,96
ENSG00000263676,61
ENSG00000200591,102
ENSG00000162521,9470
ENSG00000162520,3722
ENSG00000162522,6020
ENSG00000116497,9190
ENSG00000121905,1964
ENSG00000121900,1417
ENSG00000278966,911
ENSG00000143222,2100
ENSG00000143224,4725
ENSG00000158850,3890
ENSG00000158859,10338
ENSG00000158869,964
ENSG00000158882,3291
ENSG00000284035,76
ENSG00000143257,3247
ENSG00000248485,1406
ENSG00000188931,774
ENSG00000236484,652
ENSG00000288093,1871
ENSG00000206921,107
ENSG00000215840,884
ENSG00000277882,206
ENSG00000283317,569
ENSG00000277762,282
ENSG00000227139,446
ENSG00000265107,3288
ENSG00000234190,480
ENSG00000223728,1398
ENSG00000121634,1392
ENSG00000188092,5214
ENSG00000273059,430
ENSG00000206791,167
ENSG00000206585,164
ENSG00000198658,933
ENSG00000238382,105
ENSG00000207190,107
ENSG00000200508,102
ENSG00000116688,10234
ENSG00000188800,846
ENSG00000084073,4022
ENSG00000231296,313
ENSG00000049089,4215
ENSG00000227311,480
ENSG00000213172,418
ENSG00000284677,673
ENSG00000187801,2566
ENSG00000260920,2449
ENSG00000255054,792
ENSG00000117640,5797
ENSG00000127423,2408
ENSG00000182749,3244
ENSG00000207302,110
ENSG00000229786,251
ENSG00000223624,140
ENSG00000283938,93
ENSG00000199385,102
ENSG00000263381,60
ENSG00000126106,3561
ENSG00000198520,3290
ENSG00000199377,117
ENSG00000200169,116
ENSG00000142945,3646
ENSG00000142937,2781
ENSG00000264294,80
ENSG00000200913,104
ENSG00000202031,70
ENSG00000207421,67
ENSG00000281859,69
ENSG00000234093,385
ENSG00000202444,115
ENSG00000226499,162
ENSG00000070785,3411
ENSG00000253039,109
ENSG00000229815,839
ENSG00000232369,492
ENSG00000268949,3130
ENSG00000126107,5072
ENSG00000126088,4029
ENSG00000234315,453
ENSG00000162408,7271
ENSG00000229519,401
ENSG00000173662,2764
ENSG00000204859,4510
ENSG00000230735,437
ENSG00000171488,11724
ENSG00000226394,142
ENSG00000237200,273
ENSG00000070886,5434
ENSG00000276835,109
ENSG00000265422,82
ENSG00000223776,1457
ENSG00000273058,543
ENSG00000230325,494
ENSG00000119285,9061
ENSG00000226498,885
ENSG00000237991,370
ENSG00000244020,339
ENSG00000288099,611
ENSG00000225886,1651
ENSG00000206767,107
ENSG00000226662,662
ENSG00000207095,105
ENSG00000231344,349
ENSG00000230833,676
ENSG00000117758,3801
ENSG00000269971,184
ENSG00000270031,359
ENSG00000223062,106
ENSG00000286433,1471
ENSG00000117751,2815
ENSG00000252947,166
ENSG00000130775,4621
ENSG00000117748,1981
ENSG00000223643,837
ENSG00000230239,882
ENSG00000263811,73
ENSG00000277234,144
ENSG00000235241,508
